Fold,Pruning_Strategy,Accuracy,AUC,Precision,Recall
17,Pruned_Top10,0.7579618096351624,0.8244076371192932,0.7469879388809204,0.7848101258277893
17,Pruned_Top15,0.7515923380851746,0.8265173435211182,0.7325581312179565,0.797468364238739
18,Baseline,0.7197452187538147,0.8148328065872192,0.8571428656578064,0.5316455960273743
18,Pruned_All,0.5605095624923706,0.8350372910499573,0.534246563911438,0.9873417615890503
18,Pruned_Top1,0.7197452187538147,0.8055014610290527,0.7966101765632629,0.594936728477478
18,Pruned_Top5,0.7388535141944885,0.807692289352417,0.7435897588729858,0.7341772317886353
18,Pruned_Top10,0.7261146306991577,0.8174294829368591,0.6875,0.8354430198669434
18,Pruned_Top15,0.6878980994224548,0.8174294233322144,0.6315789222717285,0.9113923907279968
19,Baseline,0.7006369233131409,0.7951964139938354,0.6913580298423767,0.7179487347602844
19,Pruned_All,0.6815286874771118,0.8020123839378357,0.6206896305084229,0.9230769276618958
19,Pruned_Top1,0.7070063948631287,0.7990912199020386,0.6860465407371521,0.7564102411270142
19,Pruned_Top5,0.7133758068084717,0.8044465780258179,0.6666666865348816,0.8461538553237915
19,Pruned_Top10,0.675159215927124,0.8013631105422974,0.6194690465927124,0.8974359035491943
19,Pruned_Top15,0.675159215927124,0.8020122647285461,0.6194690465927124,0.8974359035491943
20,Baseline,0.7643312215805054,0.840311586856842,0.7887324094772339,0.7179487347602844
20,Pruned_All,0.656050980091095,0.849886417388916,0.5967742204666138,0.9487179517745972
20,Pruned_Top1,0.7834395170211792,0.842745840549469,0.7894737124443054,0.7692307829856873
20,Pruned_Top5,0.7770700454711914,0.8463972806930542,0.7311828136444092,0.8717948794364929
20,Pruned_Top10,0.7197452187538147,0.8491561412811279,0.6491228342056274,0.9487179517745972
20,Pruned_Top15,0.662420392036438,0.8491560816764832,0.6000000238418579,0.9615384340286255
21,Baseline,0.7215189933776855,0.7875340580940247,0.7611940503120422,0.6455696225166321
21,Pruned_All,0.5632911324501038,0.7832878828048706,0.5352112650871277,0.9620253443717957
21,Pruned_Top1,0.7215189933776855,0.7929017543792725,0.7397260069847107,0.6835442781448364
21,Pruned_Top5,0.7215189933776855,0.7977888584136963,0.6881720423698425,0.8101266026496887
21,Pruned_Top10,0.6962025165557861,0.7934625744819641,0.6396396160125732,0.8987341523170471
21,Pruned_Top15,0.6265822649002075,0.7898573875427246,0.579365074634552,0.9240506291389465
22,Baseline,0.7006369233131409,0.8019312024116516,0.7758620977401733,0.5696202516555786
22,Pruned_All,0.662420392036438,0.8093151450157166,0.6065573692321777,0.9367088675498962
22,Pruned_Top1,0.7070063948631287,0.8025802969932556,0.739130437374115,0.6455696225166321
22,Pruned_Top5,0.7070063948631287,0.8031483292579651,0.6896551847457886,0.7594936490058899
22,Pruned_Top10,0.6942675113677979,0.810126543045044,0.6371681690216064,0.9113923907279968
